Species Name,Scientific Name,Life Span,Exotic or Not,Habitat/Location,Extra Info
OLEANDER HAWK MOTH,Daphnis nerii,3–4 weeks,Exotic,"Found in Africa, Asia, and parts of Europe — gardens, open woodlands, and areas with oleander plants",Large green and pink wings; adults feed on nectar; caterpillars feed on oleander and other Apocynaceae plants; belongs to the Sphingidae family.
ORANGE OAKLEAF,Kallima inachus,3–4 weeks,Exotic,"Tropical and subtropical forests in India, Southeast Asia, and Myanmar",Upper wings bright orange with black and blue markings; underwings mimic dead leaves for camouflage; adults feed on rotting fruits and tree sap; belongs to the Nymphalidae family.
ORANGE TIP,Anthocharis cardamines,2–3 weeks,Not Exotic (common in Europe and Asia),"Meadows, grasslands, woodland edges, and gardens across Europe and temperate Asia",Males have bright orange tips on forewings; females are mostly white with black spots; adults feed on nectar; larvae feed on cruciferous plants; belongs to the Pieridae family.
ORCHARD SWALLOW,Papilio aegeus,3–4 weeks,Not Exotic (native to Australia and nearby islands),"Forest edges, woodlands, orchards, and gardens in Australia",Black wings with white and yellow markings; strong and fast flier; caterpillars feed on citrus and other Rutaceae plants; belongs to the Papilionidae family.
PAINTED LADY,Vanessa cardui,2–4 weeks,Not Exotic (found worldwide),"Open fields, meadows, gardens, and roadsides across most of the world",Orange-brown wings with black and white markings; migratory species; adults feed on nectar; caterpillars feed on thistles and mallows; belongs to the Nymphalidae family.
PAPER KITE,Idea leuconoe,2–3 weeks,Exotic,"Southeast Asian forests, mangroves, and gardens — mainly in the Philippines, Malaysia, and Taiwan","Large white wings with black veins; slow, graceful flight; adults feed on nectar and often seen gliding in butterfly conservatories; belongs to the Nymphalidae family."
PEACOCK,Aglais io,10–11 months,Not Exotic (native to Europe and temperate Asia),"Gardens, parks, meadows, and woodland edges across Europe and temperate Asia",Reddish-brown wings with large eye spots on hindwings; adults feed on nectar and tree sap; hibernates in winter; belongs to the Nymphalidae family.
PINE WHITE,Neophasia menapia,2–3 weeks,Not Exotic (native to North America),Coniferous forests and pine woodlands in western North America,White wings with subtle black markings; adults feed on nectar; larvae feed on pine needles; belongs to the Pieridae family.
PIPEVINE SWALLOW,Battus philenor,2–3 weeks,Not Exotic (native to North America),"Woodlands, fields, gardens, and wetlands across North America",Iridescent blue hindwings with black forewings; larvae feed on pipevine plants making them toxic to predators; strong and fast flier; belongs to the Papilionidae family.
POLYPHEMUS MOTH,Antheraea polyphemus,1 week,Not Exotic (native to North America),"Deciduous forests, woodlands, and suburban areas across North America","Large brown wings with prominent eyespots on hindwings; adults do not eat; caterpillars feed on a variety of trees including oak, maple, and birch; belongs to the Saturniidae family"
POPINJAY,Stibochiona nicea,2–3 weeks,Exotic,"Tropical and subtropical forests in South and Southeast Asia — India, Nepal, Bhutan, and Myanmar",Black wings with bright blue and white markings; adults feed on nectar and rotting fruit; known for strong flight; belongs to the Nymphalidae family.
PURPLE HAIRSTREAK,Favonius quercus,2–3 weeks,Not Exotic (common in Europe),Oak woodlands and forests across Europe,"Upper wings purple in males, brown in females; underwings brown with orange crescents; adults feed on honeydew and nectar; larvae feed on oak leaves; belongs to the Lycaenidae family."
PURPLISH COPPER,Lycaena helloides,2–3 weeks,Not Exotic (native to North America),"Meadows, grasslands, and open woodlands in North America",Bright copper-orange wings with purplish sheen; adults feed on nectar; larvae feed on sorrel and dock plants; belongs to the Lycaenidae family.
QUESTION MARK,Polygonia interrogationis,2–3 weeks,Not Exotic (native to North America),"Woodlands, forests, gardens, and fields across North America","Orange-brown wings with dark spots and a silver “?” mark on the underside of hindwings; adults feed on nectar, tree sap, and rotting fruit; hibernates as an adult; belongs to the Nymphalidae family."
RED ADMIRAL,Vanessa atalanta,2–4 weeks,"Not Exotic (native to North America, Europe, Asia, and North Africa)","Gardens, parks, forests, meadows, and urban areas across temperate regions",Black wings with red bands and white spots; adults feed on nectar and overripe fruit; migratory in some regions; belongs to the Nymphalidae family.
RED CRACKER,Hamadryas amphinome,2–3 weeks,Exotic,Tropical and subtropical forests in Central and South America,Brown and red wings with white spots; known for the cracking sound males make with their wings; adults feed on rotting fruit; belongs to the Nymphalidae family.
RED POSTMAN,Heliconius erato,2–4 weeks,Exotic,"Tropical forests, gardens, and open areas in Central and South America",Black wings with bright red bands; adults feed on nectar and pollen; participates in Müllerian mimicry with other Heliconius species; belongs to the Nymphalidae family.
RED SPOTTED PURPLE,Limenitis arthemis astyanax,2–3 weeks,Not Exotic (native to North America),"Woodlands, forest edges, and gardens across eastern North America","Iridescent blue-black wings with red-orange spots; adults feed on nectar, tree sap, and rotting fruit; caterpillars feed on wild cherry and other trees; belongs to the Nymphalidae family."
ROSY MAPLE MOTH,Dryocampa rubicunda,2–3 weeks,Not Exotic (native to North America),Deciduous forests and woodlands across eastern North America,Pink and yellow wings; adults do not feed; caterpillars feed on maple trees; belongs to the Saturniidae family.
SCARCE SWALLOW,Iphiclides podalirius,3–4 weeks,"Not Exotic (native to Europe, North Africa, and parts of Asia)","Open woodlands, orchards, and gardens in temperate regions of Europe and western Asia",Cream-colored wings with black tiger-like stripes and long tails on hindwings; adults feed on nectar; fast and agile flier; belongs to the Papilionidae family.
SILVER SPOT SKIPPER,Epargyreus clarus,2–3 weeks,Not Exotic (native to North America),"Open woodlands, gardens, fields, and roadsides across North America",Brown wings with distinctive silver spots on the underside; adults feed on nectar; larvae feed on legume plants; belongs to the Hesperiidae family.
SIXSPOT BURNET MOTH,Zygaena filipendulae,2–3 weeks,Not Exotic (common in Europe),"Grasslands, meadows, and open areas across Europe",Metallic blue-green wings with six red spots; toxic to predators; adults feed on nectar; belongs to the Zygaenidae family.
SLEEPY ORANGE,Abaeis nicippe,2–3 weeks,Not Exotic (native to North America),"Open fields, meadows, and gardens across North America",Bright orange wings with black borders; adults feed on nectar; larvae feed on legume plants; belongs to the Pieridae family.
SOOTYWING,Pholisora catullus,2–3 weeks,Not Exotic (native to North America),"Open fields, meadows, roadsides, and gardens across North America",Dark brown to black wings with small white spots; adults feed on nectar; larvae feed on mallow and related plants; belongs to the Hesperiidae family.
SOUTHERN DOGFACE,Zerene cesonia,2–3 weeks,Not Exotic (native to North and Central America),"Open fields, meadows, roadsides, and gardens in southern United States and Central America",Yellow wings with black “dogface” pattern on the forewings; adults feed on nectar; larvae feed on legume plants; belongs to the Pieridae family.
STRAITED QUEEN,Anetia pantheratus,2–3 weeks,Exotic,Tropical forests and open areas in Central and South America,Brown wings with creamy white stripes; adults feed on nectar; larvae feed on dogbane and related plants; belongs to the Nymphalidae family.
TROPICAL LEAFWING,Anaea aidea,2–3 weeks,Exotic,"Tropical forests, woodland edges, and gardens in Central and South America",Brown wings with leaf-like underside; adults feed on rotting fruit and tree sap; larvae feed on Croton species; belongs to the Nymphalidae family.
TWO BARRED FLASHER,Astraptes fulgerator,2–3 weeks,Exotic,Tropical forests and edges in Central and South America,Dark brown wings with two distinct white bars; adults feed on nectar; larvae feed on legume plants; belongs to the Hesperiidae family.
ULYSES,Papilio ulysses,3–4 weeks,Exotic,"Rainforests, gardens, and woodland edges in northeastern Australia, Papua New Guinea, and surrounding islands",Iridescent bright blue wings with black edges; adults feed on nectar; strong flier; belongs to the Papilionidae family
VICEROY,Limenitis archippus,2–3 weeks,Not Exotic (native to North America),"Wetlands, fields, meadows, and forest edges across North America","Orange and black wings resembling the Monarch; adults feed on nectar and tree sap; larvae feed on willows, poplars, and cottonwoods; belongs to the Nymphalidae family."
WHITE LINED SPHINX MOTH,Hyles lineata,3–4 weeks,Not Exotic (native to North America),"Deserts, gardens, fields, and open areas across North America",Gray-brown wings with white stripes and pink hindwings; adults feed on nectar while hovering like a hummingbird; caterpillars feed on a wide variety of plants; belongs to the Sphingidae family.
WOOD SATYR,Megisto cymela,2–3 weeks,Not Exotic (native to North America),"Forests, woodland edges, and shaded meadows across eastern North America",Brown wings with small eyespots; adults feed on nectar and sap; larvae feed on grasses; belongs to the Nymphalidae family.
YELLOW SWALLOW TAIL,Papilio machaon,3–4 weeks,"Not Exotic (native to Europe, Asia, and North America)","Meadows, gardens, fields, and open areas across temperate regions","Yellow wings with black tiger-like stripes and long tails on hindwings; adults feed on nectar; caterpillars feed on parsley, carrot, and related plants; belongs to the Papilionidae family."
ZEBRA LONG WING,Heliconius charithonia,2–4 weeks,Exotic,"Tropical and subtropical forests, gardens, and edges in Central and South America, and southern United States",Black wings with long white stripes; adults feed on nectar and pollen; participates in Müllerian mimicry; caterpillars feed on passionflower vines; belongs to the Nymphalidae family.
